,TIME,USER
1748,592.20160,135
1750,592.21790,98
1752,592.23438,32
1754,592.25079,36
1756,592.26727,4
1758,592.28363,22
1760,592.30005,42
1762,592.31671,12
1764,592.34277,52
1766,592.34998,-3
1768,592.36572,52
1770,592.38214,72
1771,592.39874,72
1772,592.41504,72
1773,592.43140,72
1774,592.44800,72
1775,592.46436,72
1776,592.48065,72
1778,592.49725,117
1780,592.51581,66
1782,592.53015,92
1784,592.54688,44
1786,592.56287,-9
1788,592.57935,25
1790,592.59735,64
1792,592.61218,52
1794,592.62860,36
1796,592.64581,137
1798,592.66144,93
1800,592.67780,84
1802,592.69421,26
1804,592.71063,5
1806,592.72760,36
1808,592.74371,-19
1810,592.75995,-53
1812,592.77655,16
1814,592.79871,18
1816,592.81244,16
1818,592.82587,24
1820,592.84241,-21
1822,592.85864,24
1824,592.87506,-3
1826,592.89246,42
1828,592.90833,93
1830,592.92474,7
1832,592.94122,38
1834,592.95764,44
1836,592.97369,24
1838,592.99054,57
1839,593.00739,57
1840,593.02478,57
1841,593.04175,57
1842,593.05591,57
1843,593.07227,57
1844,593.08868,57
1846,593.10620,90
1848,593.12549,101
1850,593.13782,71
1852,593.15430,118
1854,593.17078,87
1856,593.19537,67
1858,593.20624,25
1860,593.22003,1
1862,593.23669,81
1864,593.25281,128
1866,593.26984,51
1868,593.28558,37
1870,593.30237,16
1872,593.31860,-6
1874,593.33905,71
1876,593.35156,-14
1878,593.36780,9
1880,593.38434,500
1882,593.40106,500
1884,593.41718,500
1886,593.43359,500
1888,593.45001,-9
1890,593.46649,-187
1892,593.48297,-419
1894,593.49927,-458
1895,593.51569,-458
1896,593.53223,-458
1898,593.54901,-502
1900,593.56500,-467
1902,593.58148,-593
1904,593.59796,-442
1906,593.61438,-205
1908,593.63086,-188
1910,593.64728,-81
1912,593.66370,-65
1914,593.68005,87
1916,593.69647,53
1918,593.71283,120
1920,593.72925,500
1922,593.74585,500
1924,593.76227,500
1926,593.77856,500
1928,593.79504,500
1930,593.81146,130
1932,593.82794,136
1934,593.84424,131
1936,593.86072,65
1938,593.87744,40
1940,593.89368,57
1942,593.91010,49
1944,593.99658,91
1946,594.02991,67
1948,594.13062,68
1950,594.16418,23
1952,594.16687,5
1954,594.18927,-1
1956,594.20593,55
1958,594.22229,112
1960,594.23895,107
1962,594.25507,146
1964,594.27155,53
1966,594.28784,66
1968,594.30438,3
1970,594.32086,88
1972,594.33722,9
1974,594.35352,35
1976,594.37012,1
1978,594.38635,40
1980,594.40283,13
1982,594.41937,44
1984,594.43573,71
1986,594.45215,34
1988,594.46863,32
1990,594.48499,85
1992,594.50140,99
1994,594.51794,130
1996,594.53510,500
1998,594.55078,122
1999,594.56805,122
2000,594.58374,122
2001,594.60004,122
2003,594.61646,98
2005,594.63293,134
2007,594.64929,116
2009,594.67816,131
2011,594.68213,500
2013,594.69855,500
2015,594.71509,500
2017,594.73181,500
2019,594.74799,500
2021,594.77264,500
2022,594.78088,500
2024,594.79718,500
2026,594.81390,-85
2028,594.83014,-77
2030,594.84668,-156
2032,594.86670,-184
2034,594.87946,-124
2036,594.89612,-137
2038,594.91229,-118
2040,594.92865,-198
2042,594.94507,-307
2044,594.96155,-406
2046,594.97791,-391
2048,594.99445,-263
2050,595.01111,-154
2052,595.02716,-84
2054,595.04370,-8
2056,595.06036,86
2058,595.07654,59
2060,595.09308,136
2062,595.10931,115
2063,595.12744,115
2064,595.14233,115
2065,595.16162,115
2066,595.17499,115
2067,595.19153,115
2068,595.20831,115
2069,595.22473,115
2071,595.24066,74
2073,595.25726,101
2075,595.27405,117
2077,595.29016,90
2079,595.30652,500
2081,595.32300,115
2083,595.33942,500
2085,595.35614,500
2087,595.37299,138
2089,595.38849,87
2090,595.40503,87
2092,595.42194,76
2094,595.43823,73
2096,595.45428,107
2098,595.47076,138
2100,595.48724,112
2102,595.50378,500
2104,595.52008,41
2106,595.53638,52
2108,595.55298,87
2110,595.57074,92
2112,595.58575,48
2114,595.60211,85
2116,595.61859,49
2117,595.63513,49
2119,595.65173,-42
2121,595.66876,38
2123,595.68420,-18
2125,595.70074,-28
2126,595.71722,-28
2127,595.73370,-28
2128,595.75006,-28
2130,595.76849,-51
2132,595.78296,38
2134,595.80115,100
2136,595.81573,-24
2138,595.83258,4
2140,595.84863,38
2142,595.86517,74
2144,595.88165,96
2146,595.89832,102
2148,595.91425,88
2150,595.93097,44
2152,595.94720,72
2154,595.96356,70
2156,595.98114,19
2158,595.99634,36
2160,596.01385,40
2162,596.03040,118
2164,596.04565,57
2166,596.06232,51
2168,596.07874,-19
2170,596.09515,42
2172,596.11157,60
2174,596.12854,103
2176,596.14624,124
2178,596.16101,74
2180,596.17737,43
2181,596.19403,43
2182,596.20990,43
2183,596.22693,43
2185,596.24390,2
2187,596.26691,8
2189,596.29401,9
2191,596.33301,-29
2193,596.33765,18
2195,596.34332,43
2197,596.34662,23
2199,596.35803,-20
2201,596.37518,73
2203,596.39069,54
2205,596.40717,51
2207,596.42358,65
2209,596.44019,61
2211,596.45764,38
2212,596.47284,38
2214,596.48962,22
2216,596.50580,25
2218,596.52228,57
2220,596.53876,17
2222,596.55499,12
2224,596.57159,58
2226,596.58789,56
2228,596.60431,100
2230,596.62115,18
2232,596.63715,74
2234,596.65363,55
2236,596.67010,97
2238,596.68658,500
2240,596.70306,500
2242,596.72632,500
2244,596.73578,500
2246,596.75238,500
2248,596.76868,500
2250,596.78522,-50
2252,596.80145,-185
2254,596.81787,-167
2256,596.83435,-196
2258,596.85071,-120
2259,596.86841,-120
2260,596.88373,-120
2261,596.90002,-120
2262,596.91644,-120
2264,596.93292,-104
2266,596.94928,-91
2268,596.96600,-72
2270,596.98389,-88
2272,597.00293,24
2274,597.01508,-3
2276,597.03174,41
2278,597.05945,6
